facility_code,facility_name,date,date_year,date_quarter,date_month,category,vol_treated,pct_treated_in_time,pct_variation_treated_prior_year,vol_wait,vol_long_wait,pct_waiting_in_time_total,date_last_update,vol_long_wait_RFS,vol_long_wait_NRFS,pct_waiting_in_time_RFS
135,Emerald,1/10/2015,2015,4,10,2,3,100,-40,7,0,100,6/11/2015,0,0,100
135,Emerald,1/10/2015,2015,4,10,3,1,100,0,3,0,100,6/11/2015,0,0,100
135,Emerald,1/10/2015,2015,4,10,ALL,5,100,-58,11,0,100,6/11/2015,0,0,100
136,Gladstone,1/10/2015,2015,4,10,1,22,100,-51,33,2,94,6/11/2015,2,0,93
136,Gladstone,1/10/2015,2015,4,10,2,17,100,21,58,0,100,6/11/2015,0,0,100
136,Gladstone,1/10/2015,2015,4,10,3,18,100,1700,58,0,100,6/11/2015,0,0,100
136,Gladstone,1/10/2015,2015,4,10,ALL,57,100,-5,149,2,99,6/11/2015,2,0,98
50,Gold Coast,1/10/2015,2015,4,10,1,0,0,0,0,0,0,6/11/2015,0,0,0
50,Gold Coast,1/10/2015,2015,4,10,2,0,0,0,0,0,0,6/11/2015,0,0,0
50,Gold Coast,1/10/2015,2015,4,10,3,0,0,0,0,0,0,6/11/2015,0,0,0
50,Gold Coast,1/10/2015,2015,4,10,ALL,0,0,0,0,0,0,6/11/2015,0,0,0
936,Gold Coast University,1/10/2015,2015,4,10,1,361,100,21,186,0,100,6/11/2015,0,0,100
936,Gold Coast University,1/10/2015,2015,4,10,2,403,100,9,1063,0,100,6/11/2015,0,0,100
936,Gold Coast University,1/10/2015,2015,4,10,3,247,100,27,2152,0,100,6/11/2015,0,0,100
936,Gold Coast University,1/10/2015,2015,4,10,ALL,1011,100,17,3401,0,100,6/11/2015,0,0,100
93,Goondiwindi,1/10/2015,2015,4,10,1,2,100,0,1,0,100,6/11/2015,0,0,0
93,Goondiwindi,1/10/2015,2015,4,10,2,1,100,0,4,0,100,6/11/2015,0,0,100
93,Goondiwindi,1/10/2015,2015,4,10,3,1,100,0,3,0,100,6/11/2015,0,0,100
93,Goondiwindi,1/10/2015,2015,4,10,ALL,4,100,0,8,0,100,6/11/2015,0,0,100
68,Gympie,1/10/2015,2015,4,10,1,13,100,30,14,0,100,6/11/2015,0,0,100
68,Gympie,1/10/2015,2015,4,10,2,24,100,-17,65,0,100,6/11/2015,0,0,100
68,Gympie,1/10/2015,2015,4,10,3,4,100,-78,77,2,97,6/11/2015,0,2,100
68,Gympie,1/10/2015,2015,4,10,ALL,41,100,-28,156,2,99,6/11/2015,0,2,100
69,Hervey Bay,1/10/2015,2015,4,10,1,57,100,-21,36,0,100,6/11/2015,0,0,100
69,Hervey Bay,1/10/2015,2015,4,10,2,53,100,-13,151,0,100,6/11/2015,0,0,100
69,Hervey Bay,1/10/2015,2015,4,10,3,28,100,40,196,0,100,6/11/2015,0,0,100
69,Hervey Bay,1/10/2015,2015,4,10,ALL,138,100,-10,383,0,100,6/11/2015,0,0,100
196,Ingham,1/10/2015,2015,4,10,1,1,100,0,0,0,0,6/11/2015,0,0,0
196,Ingham,1/10/2015,2015,4,10,2,4,75,0,0,0,0,6/11/2015,0,0,0
196,Ingham,1/10/2015,2015,4,10,3,7,100,0,3,0,100,6/11/2015,0,0,100
196,Ingham,1/10/2015,2015,4,10,ALL,12,92,0,3,0,100,6/11/2015,0,0,100
222,Innisfail,1/10/2015,2015,4,10,1,4,100,100,3,0,100,6/11/2015,0,0,0
222,Innisfail,1/10/2015,2015,4,10,2,3,100,-57,7,0,100,6/11/2015,0,0,100
222,Innisfail,1/10/2015,2015,4,10,3,4,100,300,9,0,100,6/11/2015,0,0,100
222,Innisfail,1/10/2015,2015,4,10,ALL,11,100,10,19,0,100,6/11/2015,0,0,100
15,Ipswich,1/10/2015,2015,4,10,1,254,100,-24,95,0,100,6/11/2015,0,0,100
15,Ipswich,1/10/2015,2015,4,10,2,156,99,-7,388,0,100,6/11/2015,0,0,100
15,Ipswich,1/10/2015,2015,4,10,3,223,100,6,1480,0,100,6/11/2015,0,0,100
15,Ipswich,1/10/2015,2015,4,10,ALL,633,100,-11,1963,0,100,6/11/2015,0,0,100
70,Kingaroy,1/10/2015,2015,4,10,1,6,100,-14,6,0,100,6/11/2015,0,0,100
70,Kingaroy,1/10/2015,2015,4,10,2,15,100,0,20,0,100,6/11/2015,0,0,100
70,Kingaroy,1/10/2015,2015,4,10,3,7,100,600,27,0,100,6/11/2015,0,0,100
70,Kingaroy,1/10/2015,2015,4,10,ALL,28,100,22,53,0,100,6/11/2015,0,0,100
202,Queensland Children's,1/10/2015,2015,4,10,1,126,100,0,54,0,100,6/11/2015,0,0,100
202,Queensland Children's,1/10/2015,2015,4,10,2,316,74,0,676,46,93,6/11/2015,40,6,93
202,Queensland Children's,1/10/2015,2015,4,10,3,185,94,0,1566,9,99,6/11/2015,8,1,99
202,Queensland Children's,1/10/2015,2015,4,10,ALL,627,85,0,2296,55,98,6/11/2015,48,7,98
29,Logan,1/10/2015,2015,4,10,1,129,100,42,60,0,100,6/11/2015,0,0,100
29,Logan,1/10/2015,2015,4,10,2,165,100,-16,355,0,100,6/11/2015,0,0,100
29,Logan,1/10/2015,2015,4,10,3,136,100,106,997,0,100,6/11/2015,0,0,100
29,Logan,1/10/2015,2015,4,10,ALL,430,100,22,1412,0,100,6/11/2015,0,0,100
156,Longreach,1/10/2015,2015,4,10,1,0,0,0,2,0,100,6/11/2015,0,0,100
156,Longreach,1/10/2015,2015,4,10,2,15,100,0,17,2,88,6/11/2015,2,0,88
156,Longreach,1/10/2015,2015,4,10,3,45,100,0,29,0,100,6/11/2015,0,0,100
156,Longreach,1/10/2015,2015,4,10,ALL,60,100,0,48,2,96,6/11/2015,2,0,96
172,Mackay,1/10/2015,2015,4,10,1,89,100,-17,80,1,99,6/11/2015,0,1,100
172,Mackay,1/10/2015,2015,4,10,2,85,100,-2,324,0,100,6/11/2015,0,0,100
172,Mackay,1/10/2015,2015,4,10,3,23,100,64,413,0,100,6/11/2015,0,0,100
172,Mackay,1/10/2015,2015,4,10,ALL,197,100,-5,817,1,100,6/11/2015,0,1,100
223,Mareeba,1/10/2015,2015,4,10,1,1,100,0,1,0,100,6/11/2015,0,0,100
223,Mareeba,1/10/2015,2015,4,10,2,2,100,0,2,0,100,6/11/2015,0,0,100
223,Mareeba,1/10/2015,2015,4,10,3,5,100,0,21,0,100,6/11/2015,0,0,100
223,Mareeba,1/10/2015,2015,4,10,ALL,8,100,0,24,0,100,6/11/2015,0,0,100
71,Maryborough,1/10/2015,2015,4,10,1,21,100,31,27,0,100,6/11/2015,0,0,100
71,Maryborough,1/10/2015,2015,4,10,2,34,100,6,85,0,100,6/11/2015,0,0,100
71,Maryborough,1/10/2015,2015,4,10,3,21,100,62,128,0,100,6/11/2015,0,0,100
71,Maryborough,1/10/2015,2015,4,10,ALL,76,100,25,240,0,100,6/11/2015,0,0,100
2,Mater Children's Public,1/10/2015,2015,4,10,1,0,0,0,0,0,0,6/11/2015,0,0,0
2,Mater Children's Public,1/10/2015,2015,4,10,2,0,0,0,0,0,0,6/11/2015,0,0,0
2,Mater Children's Public,1/10/2015,2015,4,10,3,0,0,0,0,0,0,6/11/2015,0,0,0
2,Mater Children's Public,1/10/2015,2015,4,10,ALL,0,0,0,0,0,0,6/11/2015,0,0,0
1,Mater Adult,1/10/2015,2015,4,10,1,164,100,26,92,0,100,6/11/2015,0,0,0
1,Mater Adult,1/10/2015,2015,4,10,2,170,100,16,450,0,100,6/11/2015,0,0,0
1,Mater Adult,1/10/2015,2015,4,10,3,237,100,23,1428,0,100,6/11/2015,0,0,0
1,Mater Adult,1/10/2015,2015,4,10,ALL,571,100,22,1970,0,100,6/11/2015,0,0,0
3,Mater Mothers',1/10/2015,2015,4,10,1,58,100,-17,22,0,100,6/11/2015,0,0,0
3,Mater Mothers',1/10/2015,2015,4,10,2,42,100,5,38,0,100,6/11/2015,0,0,0
3,Mater Mothers',1/10/2015,2015,4,10,3,48,100,129,108,0,100,6/11/2015,0,0,0
3,Mater Mothers',1/10/2015,2015,4,10,ALL,148,100,13,168,0,100,6/11/2015,0,0,0
97,Miles,1/10/2015,2015,4,10,1,0,0,0,0,0,0,6/11/2015,0,0,0
97,Miles,1/10/2015,2015,4,10,2,0,0,0,0,0,0,6/11/2015,0,0,0
97,Miles,1/10/2015,2015,4,10,3,0,0,0,0,0,0,6/11/2015,0,0,0
97,Miles,1/10/2015,2015,4,10,ALL,0,0,0,0,0,0,6/11/2015,0,0,0
246,Mount Isa,1/10/2015,2015,4,10,1,19,95,-10,12,1,92,6/11/2015,0,1,100
246,Mount Isa,1/10/2015,2015,4,10,2,44,89,76,94,1,99,6/11/2015,0,1,100
246,Mount Isa,1/10/2015,2015,4,10,3,14,100,250,124,2,98,6/11/2015,0,2,100
246,Mount Isa,1/10/2015,2015,4,10,ALL,77,92,54,230,4,98,6/11/2015,0,4,100
49,Nambour,1/10/2015,2015,4,10,1,146,94,-18,135,4,97,6/11/2015,3,1,97
49,Nambour,1/10/2015,2015,4,10,2,242,96,34,564,1,100,6/11/2015,1,0,100
49,Nambour,1/10/2015,2015,4,10,3,120,100,253,622,2,100,6/11/2015,1,1,100
49,Nambour,1/10/2015,2015,4,10,ALL,508,96,30,1321,7,100,6/11/2015,5,2,100
11,Princess Alexandra,1/10/2015,2015,4,10,1,397,100,-31,296,0,100,6/11/2015,0,0,100
11,Princess Alexandra,1/10/2015,2015,4,10,2,490,88,-21,1266,133,90,6/11/2015,104,29,90
11,Princess Alexandra,1/10/2015,2015,4,10,3,103,87,-3,1354,15,99,6/11/2015,10,5,99
